GM = 4.911328E12
orbital radius = 1837400.0 m
velocity = 1634.9241672822895 m/s
predicted period = 7061.3212003602575 s
state.size = 4
state = [ 1837400.0, 0.0, 0.0, 1634.9241672822895 ]

t, x, y, vx, vy, am, en, radius, v
50.5, 1835545.310562545, 82535.88838710835, -73.44068716240191, 1633.2738589204203, 3.0040096649644775E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
51.0, 1835508.4085586658, 83352.51712115956, -74.16732591988394, 1633.2410234039496, 3.004009664964478E9, -1336488.5163818449, 1837399.9999999998, 1634.9241672822893
51.5, 1835471.1432390718, 84169.1293566324, -74.89394999688021, 1633.2078646080392, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999995, 1634.924167282289
52.0, 1835433.5146111394, 84985.72493188879, -75.62055924956468, 1633.1743825392527, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999995, 1634.924167282289
52.5, 1835395.5226823168, 85802.30368529394, -76.34715353411423, 1633.1405772042176, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999995, 1634.924167282289
53.0, 1835357.167460124, 86618.86545521641, -77.07373270670868, 1633.106448609625, 3.004009664964478E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
53.5, 1835318.4489521529, 87435.4100800281, -77.80029662353087, 1633.0719967622301, 3.0040096649644775E9, -1336488.5163818449, 1837399.9999999998, 1634.9241672822893
54.0, 1835279.3671660672, 88251.93739810432, -78.52684514076662, 1633.0372216688525, 3.004009664964478E9, -1336488.516381845, 1837399.9999999998, 1634.924167282289
54.5, 1835239.9221096027, 89068.44724782377, -79.25337811460486, 1633.0021233363752, 3.004009664964478E9, -1336488.5163818449, 1837399.9999999998, 1634.9241672822893
55.0, 1835200.113790567, 89884.93946756866, -79.97989540123754, 1632.9667017717459, 3.0040096649644775E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
55.5, 1835159.9422168399, 90701.41389572466, -80.70639685685974, 1632.9309569819754, 3.0040096649644775E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
56.0, 1835119.4073963726, 91517.87037068096, -81.43288233766967, 1632.8948889741391, 3.0040096649644775E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
56.5, 1835078.5093371887, 92334.30873083031, -82.1593516998687, 1632.8584977553762, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999995, 1634.924167282289
57.0, 1835037.2480473833, 93150.72881456904, -82.88580479966139, 1632.82178333289, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999998, 1634.924167282289
57.5, 1834995.6235351234, 93967.13046029712, -83.61224149325552, 1632.7847457139474, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999998, 1634.924167282289
58.0, 1834953.6358086483, 94783.51350641814, -84.33866163686213, 1632.7473849058797, 3.004009664964477E9, -1336488.5163818453, 1837399.9999999998, 1634.924167282289
58.5, 1834911.2848762688, 95599.87779133937, -85.06506508669551, 1632.709700916082, 3.004009664964477E9, -1336488.5163818453, 1837399.9999999998, 1634.924167282289
59.0, 1834868.5707463678, 96416.22315347183, -85.79145169897328, 1632.6716937520134, 3.004009664964477E9, -1336488.5163818456, 1837399.9999999995, 1634.9241672822889
59.5, 1834825.4934274, 97232.54943123026, -86.51782132991637, 1632.633363421197, 3.0040096649644766E9, -1336488.5163818456, 1837399.9999999995, 1634.9241672822889
60.0, 1834782.052927892, 98048.85646303317, -87.2441738357491, 1632.5947099312195, 3.0040096649644766E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
60.5, 1834738.2492564423, 98865.14408730289, -87.97050907269914, 1632.5557332897322, 3.0040096649644766E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
61.0, 1834694.0824217214, 99681.4121424656, -88.69682689699762, 1632.5164335044499, 3.0040096649644766E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
61.5, 1834649.5524324714, 100497.66046695135, -89.42312716487909, 1632.4768105831515, 3.0040096649644766E9, -1336488.516381846, 1837399.9999999995, 1634.9241672822886
62.0, 1834604.6592975066, 101313.88889919406, -90.14940973258157, 1632.43686453368, 3.0040096649644766E9, -1336488.516381846, 1837399.9999999995, 1634.9241672822886
62.5, 1834559.4030257128, 102130.09727763165, -90.87567445634662, 1632.396595363942, 3.004009664964476E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
63.0, 1834513.7836260481, 102946.28544070595, -91.60192119241928, 1632.3560030819083, 3.0040096649644766E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
63.5, 1834467.8011075424, 103762.45322686284, -92.32814979704821, 1632.3150876956138, 3.004009664964477E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
64.0, 1834421.455479297, 104578.60047455221, -93.0543601264856, 1632.2738492131568, 3.004009664964477E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
64.5, 1834374.7467504859, 105394.727022228, -93.7805520369873, 1632.2322876427004, 3.0040096649644766E9, -1336488.5163818458, 1837399.9999999998, 1634.9241672822886
65.0, 1834327.6749303539, 106210.83270834829, -94.50672538481278, 1632.190402992471, 3.0040096649644766E9, -1336488.5163818456, 1837399.9999999995, 1634.9241672822889
65.5, 1834280.2400282186, 107026.91737137524, -95.2328800262252, 1632.148195270759, 3.0040096649644766E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
66.0, 1834232.4420534694, 107842.9808497752, -95.95901581749142, 1632.105664485919, 3.0040096649644766E9, -1336488.5163818458, 1837399.9999999998, 1634.9241672822886
66.5, 1834184.2810155668, 108659.02298201871, -96.68513261488202, 1632.0628106463696, 3.0040096649644766E9, -1336488.5163818458, 1837399.9999999995, 1634.9241672822886
67.0, 1834135.756924044, 109475.04360658053, -97.41123027467135, 1632.019633760593, 3.0040096649644766E9, -1336488.5163818456, 1837399.9999999998, 1634.9241672822889
